ID,property_id,hotel_name,check in date,price
7134,846,All American Inn Fam Suite,,
7010,846,All American Inn K Jac,,
7117,846,All American Inn King,,
9806,846,All American Inn Q Handi,,
7008,846,All American Inn QQ,,
10103,7543,America?s Best Value Inn DD,,
10119,7543,America?s Best Value Inn Family (DDD),,
10120,7543,America?s Best Value Inn Family Suite,,
10104,7543,America?s Best Value Inn King,,
10102,7543,America?s Best Value Inn Q,,
7222,693,Barrington Inn King Jacuzzi,,
7221,693,Barrington Inn Q Handicap,,
7180,693,Barrington Inn QQ Room,,
7394,926,Baymont Inn & Suites QQ,,
9673,1561,Branson Yellow Rose Inn King,,
9671,1561,Branson Yellow Rose Inn QQ,,
20071,652,BW Center Pointe Inn QQ Dlx Interior,,
7012,651,BW Music Capital Inn QQ Dlx,,
4613,710,Carriage House Inn K Jacuzzi,,
4612,710,Carriage House Inn King Room,,
4608,710,Carriage House Inn QQ,,
7400,842,Castle Rock Tower DD w/Bunkbeds (No Waterpark),,
7269,842,Castle Rock Tower DD w/Bunkbeds 1 Pass an Occupant,,
20091,842,Castle Rock Tower Family Suite - Waterpark,,
20090,842,Castle Rock Tower Family Suite (No Waterpark),,
7026,748,Chateau (Lkfrt) K (48 hr Can),,
7029,748,Chateau (Lkvw) K Amb  (48 hr Can),,
7027,748,Chateau (Mtn) Amb QQ  (48 hr Can),,
7022,748,Chateau (Mtn) View QQ (48 hr Can),,
7024,748,Chateau QQ (Lkvw-Partial)  (48 hr Can),,
4254,662,Clarion Hotel King Inside Rm,,
7383,662,Clarion Hotel QQ Exterior Rm,,
4250,662,Clarion Hotel QQ Inside Rm,,
9954,634,Classic Motor Inn King(Only 6rms),,
4130,634,Classic Motor Inn QQ,,
7017,655,Comfort Inn & Suites QQ ,,
7015,654,Comfort Inn Thousand Hills QQ Dlx,,
20067,3143,Cottages on Lake Bluff - Skipjack 2nt Min. Military,,
9912,3143,Cottages on Lake Bluff - Skipjack 2nt Min.,,
7698,3143,Cottages on Lake Bluff - Windjammer 2nt Min.,,
20066,3143,Cottages on Lake Bluff - Windjammer 2nt Min. (Military),,
9885,647,Days Inn SOH Jacuzzi,,
9897,647,Days Inn SOH King Handi,,
9882,647,Days Inn SOH QQ,,
9884,647,Days Inn SOH QQ Handi,,
4347,706,Dutton Inn QQ,,
10001,837,Fall Creek Inn King Suite (Family),,
9880,837,Fall Creek Inn Master Suite Kitchenette,,
7619,837,Fall Creek Inn Q Jacuzzi ,,
7142,837,Fall Creek Inn QQ Dlx,,
7618,837,Fall Creek Inn QQ Lux,,
4360,837,Fall Creek Inn Std. QQ (3rd Flr),,
9793,847,Gazebo Honeymoon Suite w/ Whirlpool Tub,,
4343,847,Gazebo Inn Family Suite,,
4338,847,Gazebo Inn King Room,,
4341,847,Gazebo Inn Q room Jacuzzi,,
4337,847,Gazebo Inn QQ Room,,
4488,864,Grand Ctry Bldg 2 or 3 QQ,,
4148,711,Grand Plaza Family Unit,,
4149,711,Grand Plaza Honeymoon Suite,,
4147,711,Grand Plaza King Feature Jac,,
4146,711,Grand Plaza King Mini Suite No Jac,,
4150,711,Grand Plaza QQ,,
9909,2873,Grand View Inn & Suites King,,
9908,2873,Grand View Inn & Suites QQ,,
9959,709,Hampton by Hilton 76 QQ,,
7291,884,Hampton Inn Branson Hills King,,
7290,884,Hampton Inn Branson Hills QQ,,
7550,850,Hilton CV K Dlx w/Sofabed,,
9980,850,Hilton CV King Condo,,
7551,850,Hilton CV QQ Dlx,,
9907,849,Hilton PR K 1Bdrm Condo,,
7548,849,Hilton PR King Dlx,,
9981,849,Hilton PR QQ Dlx Room,,
10165,849,Hilton PR QQ Superior (w/Balcony),,
7547,967,Holiday Inn Expr Grn Mt Dr QQ,,
7102,762,Honeysuckle Comfort King,,
10168,762,Honeysuckle Comfort King Combo,,
10167,762,Honeysuckle King Combo,,
7103,762,Honeysuckle King Room,,
4624,762,Honeysuckle QQ,,
10166,762,Honeysuckle QQ Combo,,
9924,762,Honeysuckle QQ Handicap,,
7104,762,Honeysuckle Queen Jacuzzi,,
9805,632,Hotel Grand Victorian QQ,,
20088,724,Lodge of the Ozarks K w/ Jetted Tub,,
20092,724,Lodge of the Ozarks King,,
20086,724,Lodge of the Ozarks QQ,,
20087,724,Lodge of the Ozarks QQ w/ Jetted Tub,,
7302,812,Lynina Inn K Jacuzzi,,
4543,812,Lynina Inn King,,
4539,812,Lynina Inn QQ,,
9928,839,Ozark Valley Inn Family Suite,,
9848,839,Ozark Valley Inn K Jacuzzi,,
10163,839,Ozark Valley Inn King (w/ Recliner or Sofa),,
9963,839,Ozark Valley King (2nd Floor),,
9962,839,Ozark Valley QQ (2nd Floor),,
20072,9423,Quality Inn West QQ,,
7228,848,Residence Inn 1bd,,
7225,848,Residence Inn Studio,,
10151,650,Scenic Hills Inn King ,,
4314,650,Scenic Hills Inn King Handicap,,
7201,650,Scenic Hills Inn King Jacuzzi,,
7202,650,Scenic Hills Inn King w/Recliner or Sofa,,
4311,650,Scenic Hills Inn QQ,,
4328,787,Still Waters 1Bd 1600 Kg,,
4326,787,Still Waters 1Bd 1700 Kg,,
4329,787,Still Waters 2Bd 2000 1K/2Q,,
4334,787,Still Waters 2Bd 2500 1K/2Q LkFt,,
4336,787,Still Waters 3Bd 3600 1K4Q,,
4324,787,Still Waters Motel 50 QQ,,
9952,782,Stone Castle Hotel 1K/2Q Family Suite,,
9670,782,Stone Castle Hotel K,,
10014,782,Stone Castle Hotel Q,,
7409,782,Stone Castle Hotel Q Handi,,
4391,782,Stone Castle Hotel QQ,,
4392,782,Stone Castle Jacuzzi Themed King Room,,
7074,782,Stone Castle K Jacuzzi  Themed Suite,,
10011,883,Welk QQ + Brkfst (2Ad) No Splash,,
10201,883,Welk QQ + Brkfst (2Ad) w/ Splash,,
7458,883,Welk Resort QQ w Splash,,
10000,883,Welk Resort QQ w/out Splash,,
9808,790,Radisson DD w/ 2 breakfast buffet,,
4491,790,Radisson Hotel Leisure Suite w/ 2 bkfst buffet,,
4234,790,Radisson Hotel QQ w/2 Breakfast Buffet ,,
9809,790,Radisson K w/ 2 breakfast buffet,,
